Denominação_categoria,Denominação_subcategoria,Cód.valorização,Txt.code codif.,Count
Acesso e Segurança,Condicao Do Acesso,1.0,CONDIÇÃO NORMAL,2077
Acesso e Segurança,Condicao Do Acesso,2.0,ROÇAR OU REABRIR,3066
Acesso e Segurança,Condicao Do Acesso,3.0,INEXISTENTE,12
Acesso e Segurança,Condicao Do Acesso,4.0,INTERROMPIDO,32
Acesso e Segurança,Estreitamento Da Faixa,-1.0,Desconhecido,13
Acesso e Segurança,Estreitamento Da Faixa,1.0,LADO DIREITO,581
Acesso e Segurança,Estreitamento Da Faixa,1.0,RISCO FUTURO,3
Acesso e Segurança,Estreitamento Da Faixa,2.0,CONDIÇÃO NORMAL,8
Acesso e Segurança,Estreitamento Da Faixa,2.0,LADO ESQUERDO,670
Acesso e Segurança,Estreitamento Da Faixa,3.0,AMBOS OS LADOS,703
Acesso e Segurança,Estreitamento Da Faixa,5.0,CONDIÇÃO NORMAL,1189
Acesso e Segurança,Seccinamento Em Cerca Faltante,1.0,ATERRAMENTO FALTANTE,228
Acesso e Segurança,Seccinamento Em Cerca Faltante,2.0,CONDIÇÃO NORMAL,126
Acesso e Segurança,Seccinamento Em Cerca Faltante,3.0,SECCIONAMENTO FALTANTE,72
Acesso e Segurança,Seccinamento Em Cerca Faltante,4.0,ATERR. E SECC. FALTANTE,125
Acesso e Segurança,Travessia Irregular,1.0,RISCO FUTURO,30
Acesso e Segurança,Travessia Irregular,2.0,CONDIÇÃO NORMAL,20
Base e Fundação,Base Alagada,-1.0,Desconhecido,2
Base e Fundação,Base Alagada,1.0,RISCO FUTURO,42
Base e Fundação,Base Alagada,2.0,CONDIÇÃO NORMAL,30
Base e Fundação,Base Assoreada,-1.0,Desconhecido,1
Base e Fundação,Base Assoreada,1.0,RISCO FUTURO,278
Base e Fundação,Base Assoreada,2.0,CONDIÇÃO NORMAL,194
Base e Fundação,Base Assoreada,3.0,CONDIÇÃO PERIGOSA,1
Base e Fundação,Base Com Formigueiro,1.0,RISCO FUTURO,422
Base e Fundação,Base Com Formigueiro,2.0,CONDIÇÃO NORMAL,307
Base e Fundação,Base Desarroreada,1.0,RISCO FUTURO,37
Base e Fundação,Base Desarroreada,2.0,CONDIÇÃO NORMAL,32
Base e Fundação,Base Risco D Abalroamento,-1.0,Desconhecido,4
Base e Fundação,Base Risco D Abalroamento,1.0,RISCO FUTURO,66
Base e Fundação,Base Risco D Abalroamento,2.0,CONDIÇÃO NORMAL,63
Base e Fundação,Base Suja,-1.0,Desconhecido,11
Base e Fundação,Base Suja,1.0,RISCO FUTURO,12021
Base e Fundação,Base Suja,2.0,CONDIÇÃO NORMAL,8334
Base e Fundação,Base Suja,3.0,CONDIÇÃO PERIGOSA,5
Componentes Estruturais,Estrutura,2.0,COM OBJETO ESTRANHO,131
Componentes Estruturais,Estrutura,3.0,CONDIÇÃO NORMAL,700
Componentes Estruturais,Estrutura,4.0,FORA DE PRUMO,1
Componentes Estruturais,Estrutura,5.0,FALTANDO BALISAMENTO,56
Componentes Estruturais,Estrutura,6.0,ESTAI-RETENSIONAR,378
Componentes Estruturais,Estrutura,11.0,PIPA/RABIOLA,4
Componentes Estruturais,Peca Dos Bracos,-1.0,Desconhecido,13
Componentes Estruturais,Peca Dos Bracos,1.0,CORROSÃO GRAU I,96
Componentes Estruturais,Peca Dos Bracos,2.0,CORROSÃO GRAU II,256
Componentes Estruturais,Peca Dos Bracos,3.0,CONDIÇÃO NORMAL,1
Componentes Estruturais,Peca Dos Bracos,3.0,CORROSÃO GRAU III,153
Componentes Estruturais,Peca Dos Bracos,5.0,DANIFICADO,46
Componentes Estruturais,Peca Dos Bracos,6.0,MAL INSTALADO,9
Componentes Estruturais,Peca Dos Bracos,7.0,FALTANDO,5
Componentes Estruturais,Peca Dos Bracos,8.0,CONDIÇÃO NORMAL,181
Componentes Estruturais,Peca Dos Bracos,9.0,INADEQUADO,11
Componentes Estruturais,Pecas Da Base(Pes),-1.0,Desconhecido,14
Componentes Estruturais,Pecas Da Base(Pes),1.0,CORROSÃO GRAU I,35
Componentes Estruturais,Pecas Da Base(Pes),2.0,CORROSÃO GRAU II,37
Componentes Estruturais,Pecas Da Base(Pes),3.0,CONDIÇÃO NORMAL,1
Componentes Estruturais,Pecas Da Base(Pes),3.0,CORROSÃO GRAU III,8
Componentes Estruturais,Pecas Da Base(Pes),5.0,DANIFICADO,112
Componentes Estruturais,Pecas Da Base(Pes),6.0,MAL INSTALADO,4
Componentes Estruturais,Pecas Da Base(Pes),7.0,FALTANDO,309
Componentes Estruturais,Pecas Da Base(Pes),8.0,CONDIÇÃO NORMAL,239
Componentes Estruturais,Pecas Da Base(Pes),9.0,INADEQUADO,1
Componentes Estruturais,Pecas Da Base(Pes),10.0,SEM VISUALIZAÇÃO (DRONE),933
Componentes Estruturais,Pecas Do Corpo,1.0,CORROSÃO GRAU I,83
Componentes Estruturais,Pecas Do Corpo,2.0,CORROSÃO GRAU II,215
Componentes Estruturais,Pecas Do Corpo,3.0,CONDIÇÃO NORMAL,1
Componentes Estruturais,Pecas Do Corpo,3.0,CORROSÃO GRAU III,156
Componentes Estruturais,Pecas Do Corpo,5.0,DANIFICADO,68
Componentes Estruturais,Pecas Do Corpo,6.0,MAL INSTALADO,63
Componentes Estruturais,Pecas Do Corpo,7.0,FALTANDO,95
Componentes Estruturais,Pecas Do Corpo,8.0,CONDIÇÃO NORMAL,171
Componentes Estruturais,Pecas Do Corpo,9.0,INADEQUADO,31
Componentes Estruturais,Pedarol,1.0,FALTANDO,8
Componentes Estruturais,Pedarol,2.0,CONDIÇÃO NORMAL,1
Componentes Estruturais,Pedarol,3.0,CONDIÇÃO NORMAL,1
Componentes Estruturais,Pedarol,3.0,INADEQUADO,1
Componentes Estruturais,Pedarol,5.0,DANIFICADO,3
Componentes Estruturais,Vao,3.0,QUEIMADA NA FAIXA,83
Componentes Estruturais,Vao,4.0,ALTERAÇÃO DO TERRENO,10
Componentes Estruturais,Vao,8.0,CONDIÇÃO NORMAL,649
Corrosão,Amortecedor Condutor (Dir/Uni),2.0,MAL INSTALADO,1
Corrosão,Amortecedor Condutor (Dir/Uni),3.0,CONDIÇÃO NORMAL,2
Corrosão,Amortecedor Condutor (Dir/Uni),5.0,DANIFICADO,60
Corrosão,Amortecedor Condutor (Dir/Uni),6.0,FALTANDO,26
Corrosão,Amortecedor Condutor (Dir/Uni),7.0,MAL INSTALADO,55
Corrosão,Amortecedor Condutor (Dir/Uni),10.0,CONDIÇÃO NORMAL,8
Corrosão,Amortecedor Condutor (Dir/Uni),11.0,PARAFUSO/PORCA FALTANDO/FROUXO,26
Corrosão,Amortecedor Condutor (Esq),5.0,DANIFICADO,62
Corrosão,Amortecedor Condutor (Esq),6.0,FALTANDO,5
Corrosão,Amortecedor Condutor (Esq),7.0,MAL INSTALADO,27
Corrosão,Amortecedor Condutor (Esq),8.0,INADEQUADO,3
Corrosão,Amortecedor Condutor (Esq),9.0,COM SINAL DE DESCARGA,2
Corrosão,Amortecedor Condutor (Esq),10.0,CONDIÇÃO NORMAL,53
Corrosão,Amortecedor Condutor (Esq),11.0,PARAFUSO/PORCA FALTANDO/FROUXO,24
Corrosão,Amortecedor Para-Raio (Dir/Uni),3.0,CONDIÇÃO NORMAL,1
Corrosão,Amortecedor Para-Raio (Dir/Uni),5.0,DANIFICADO,63
Corrosão,Amortecedor Para-Raio (Dir/Uni),6.0,FALTANDO,4
Corrosão,Amortecedor Para-Raio (Dir/Uni),7.0,MAL INSTALADO,13
Corrosão,Amortecedor Para-Raio (Dir/Uni),8.0,INADEQUADO,2
Corrosão,Amortecedor Para-Raio (Dir/Uni),10.0,CONDIÇÃO NORMAL,6
Corrosão,Amortecedor Para-Raio (Dir/Uni),11.0,PARAFUSO/PORCA FALTANDO/FROUXO,9
Corrosão,Amortecedor Para-Raio (Esq),5.0,DANIFICADO,30
Corrosão,Amortecedor Para-Raio (Esq),6.0,FALTANDO,3
Corrosão,Amortecedor Para-Raio (Esq),7.0,MAL INSTALADO,14
Corrosão,Amortecedor Para-Raio (Esq),10.0,CONDIÇÃO NORMAL,4
Corrosão,Amortecedor Para-Raio (Esq),11.0,PARAFUSO/PORCA FALTANDO/FROUXO,9
Corrosão,Cabo Condutor (Dir/Uni),5.0,CABO ENGAIOLADO,6
Corrosão,Cabo Condutor (Dir/Uni),6.0,COM SINAL DE DESCARGA,9
Corrosão,Cabo Condutor (Dir/Uni),7.0,COM OBJETO ESTRANHO EM RISCO,10
Corrosão,Cabo Condutor (Dir/Uni),8.0,CONDIÇÃO NORMAL,33629
Corrosão,Cabo Condutor (Dir/Uni),9.0,CHAMUSCADO,13
Corrosão,Cabo Condutor (Dir/Uni),11.0,PIPA/RABIOLA,8
Corrosão,Cabo Condutor (Esq),5.0,CABO ENGAIOLADO,5
Corrosão,Cabo Condutor (Esq),6.0,COM SINAL DE DESCARGA,9
Corrosão,Cabo Condutor (Esq),7.0,COM OBJETO ESTRANHO EM RISCO,6
Corrosão,Cabo Condutor (Esq),8.0,CONDIÇÃO NORMAL,16
Corrosão,Cabo Condutor (Esq),9.0,CHAMUSCADO,3
Corrosão,Cabo Condutor (Esq),11.0,PIPA/RABIOLA,3
Corrosão,Cabo Para-Raio (Dir/Uni),-1.0,Desconhecido,1
Corrosão,Cabo Para-Raio (Dir/Uni),5.0,ROMPIDO,89
Corrosão,Cabo Para-Raio (Dir/Uni),6.0,CABO ENGAIOLADO,8
Corrosão,Cabo Para-Raio (Dir/Uni),7.0,COM OBJETO ESTRANHO EM RISCO,10
Corrosão,Cabo Para-Raio (Dir/Uni),8.0,COM SINAL DE DESCARGA,21
Corrosão,Cabo Para-Raio (Dir/Uni),9.0,CHAMUSCADO,5
Corrosão,Cabo Para-Raio (Dir/Uni),10.0,CONDIÇÃO NORMAL,158
Corrosão,Cabo Para-Raio (Dir/Uni),11.0,PIPA/RABIOLA,43
Corrosão,Cabo Para-Raio (Dir/Uni),13.0,ESFORÇO UNILATERAL NA MÍSULA,36
Corrosão,Cabo Para-Raio (Esq),5.0,ROMPIDO,88
Corrosão,Cabo Para-Raio (Esq),6.0,CABO ENGAIOLADO,3
Corrosão,Cabo Para-Raio (Esq),7.0,COM OBJETO ESTRANHO EM RISCO,8
Corrosão,Cabo Para-Raio (Esq),8.0,COM SINAL DE DESCARGA,14
Corrosão,Cabo Para-Raio (Esq),10.0,CONDIÇÃO NORMAL,92
Corrosão,Cabo Para-Raio (Esq),11.0,PIPA/RABIOLA,28
Corrosão,Cabo Para-Raio (Esq),13.0,ESFORÇO UNILATERAL NA MÍSULA,17
Corrosão,Cor Isol Jump-Inf/Dir/Exter(Circdir/Uni),1.0,CONDIÇÃO NORMAL,17
Corrosão,Cor Isol Jump-Inf/Dir/Exter(Circdir/Uni),2.0,CORROSÃO GRAU I,183
Corrosão,Cor Isol Jump-Inf/Dir/Exter(Circdir/Uni),3.0,CORROSÃO GRAU II,20
Corrosão,Corro. Emenda/Reparo Condutor (Dir/Uni),1.0,CONDIÇÃO NORMAL,2
Corrosão,Corro. Emenda/Reparo Condutor (Dir/Uni),2.0,CORROSÃO GRAU I,3
Corrosão,Corro. Emenda/Reparo Condutor (Dir/Uni),3.0,CORROSÃO GRAU II,2
Corrosão,Corro. Emenda/Reparo Condutor (Esq),2.0,CORROSÃO GRAU I,2
Corrosão,Corro. Emenda/Reparo Condutor (Esq),3.0,CORROSÃO GRAU II,1
Corrosão,Corro. Emenda/Reparo Para-Raio (Dir/Uni),1.0,CONDIÇÃO NORMAL,10
Corrosão,Corro. Emenda/Reparo Para-Raio (Dir/Uni),2.0,CORROSÃO GRAU I,16
Corrosão,Corro. Emenda/Reparo Para-Raio (Dir/Uni),3.0,CORROSÃO GRAU II,8
Corrosão,Corro. Emenda/Reparo Para-Raio (Dir/Uni),4.0,CORROSÃO GRAU III,3
Corrosão,Corro. Emenda/Reparo Para-Raio (Esq),1.0,CONDIÇÃO NORMAL,2
Corrosão,Corro. Emenda/Reparo Para-Raio (Esq),2.0,CORROSÃO GRAU I,17
Corrosão,Corro. Emenda/Reparo Para-Raio (Esq),3.0,CORROSÃO GRAU II,4
Corrosão,Corro. Ferrag./Conec. Condutor (Dir/Uni),-1.0,Desconhecido,11
Corrosão,Corro. Ferrag./Conec. Condutor (Dir/Uni),1.0,CONDIÇÃO NORMAL,251
Corrosão,Corro. Ferrag./Conec. Condutor (Dir/Uni),2.0,CORROSÃO GRAU I,2730
Corrosão,Corro. Ferrag./Conec. Condutor (Dir/Uni),3.0,CORROSÃO GRAU II,284
Corrosão,Corro. Ferrag./Conec. Condutor (Dir/Uni),4.0,CORROSÃO GRAU III,36
Corrosão,Corro. Ferrag./Conec. Condutor (Dir/Uni),5.0,CONDIÇÃO PERIGOSA,9
Corrosão,Corro. Ferrag./Conec. Condutor (Esq),-1.0,Desconhecido,6
Corrosão,Corro. Ferrag./Conec. Condutor (Esq),1.0,CONDIÇÃO NORMAL,196
Corrosão,Corro. Ferrag./Conec. Condutor (Esq),2.0,CORROSÃO GRAU I,2675
Corrosão,Corro. Ferrag./Conec. Condutor (Esq),3.0,CORROSÃO GRAU II,193
Corrosão,Corro. Ferrag./Conec. Condutor (Esq),4.0,CORROSÃO GRAU III,26
Corrosão,Corro. Ferrag./Conec. Para-Raio(Dir/Uni),-1.0,Desconhecido,1
Corrosão,Corro. Ferrag./Conec. Para-Raio(Dir/Uni),1.0,CONDIÇÃO NORMAL,60
Corrosão,Corro. Ferrag./Conec. Para-Raio(Dir/Uni),2.0,CORROSÃO GRAU I,1391
Corrosão,Corro. Ferrag./Conec. Para-Raio(Dir/Uni),3.0,CORROSÃO GRAU II,79
Corrosão,Corro. Ferrag./Conec. Para-Raio(Dir/Uni),4.0,CORROSÃO GRAU III,14
Corrosão,Corro. Ferrag./Conec. Para-Raio(Esq),1.0,CONDIÇÃO NORMAL,71
Corrosão,Corro. Ferrag./Conec. Para-Raio(Esq),2.0,CORROSÃO GRAU I,1419
Corrosão,Corro. Ferrag./Conec. Para-Raio(Esq),3.0,CORROSÃO GRAU II,65
Corrosão,Corro. Ferrag./Conec. Para-Raio(Esq),4.0,CORROSÃO GRAU III,14
Corrosão,Corro. Grampo Anco. Condutor (Dir/Uni),1.0,CONDIÇÃO NORMAL,317
Corrosão,Corro. Grampo Anco. Condutor (Dir/Uni),2.0,CORROSÃO GRAU I,401
Corrosão,Corro. Grampo Anco. Condutor (Dir/Uni),3.0,CORROSÃO GRAU II,46
Corrosão,Corro. Grampo Anco. Condutor (Esq),1.0,CONDIÇÃO NORMAL,29
Corrosão,Corro. Grampo Anco. Condutor (Esq),2.0,CORROSÃO GRAU I,124
Corrosão,Corro. Grampo Anco. Condutor (Esq),3.0,CORROSÃO GRAU II,34
Corrosão,Corro. Grampo Anco. Condutor (Esq),4.0,CORROSÃO GRAU III,7
Corrosão,Corro. Grampo Anco. Para-Raio (Dir/Uni),1.0,CONDIÇÃO NORMAL,31
Corrosão,Corro. Grampo Anco. Para-Raio (Dir/Uni),2.0,CORROSÃO GRAU I,75
Corrosão,Corro. Grampo Anco. Para-Raio (Dir/Uni),3.0,CORROSÃO GRAU II,27
Corrosão,Corro. Grampo Anco. Para-Raio (Dir/Uni),4.0,CORROSÃO GRAU III,9
Corrosão,Corro. Grampo Anco. Para-Raio (Esq),1.0,CONDIÇÃO NORMAL,17
Corrosão,Corro. Grampo Anco. Para-Raio (Esq),2.0,CORROSÃO GRAU I,63
Corrosão,Corro. Grampo Anco. Para-Raio (Esq),3.0,CORROSÃO GRAU II,13
Corrosão,Corro. Grampo Anco. Para-Raio (Esq),4.0,CORROSÃO GRAU III,4
Corrosão,Corro. Grampo Susp. Condutor (Dir/Uni),-1.0,Desconhecido,6
Corrosão,Corro. Grampo Susp. Condutor (Dir/Uni),1.0,CONDIÇÃO NORMAL,91
Corrosão,Corro. Grampo Susp. Condutor (Dir/Uni),2.0,CORROSÃO GRAU I,581
Corrosão,Corro. Grampo Susp. Condutor (Dir/Uni),3.0,CORROSÃO GRAU II,117
Corrosão,Corro. Grampo Susp. Condutor (Dir/Uni),4.0,CORROSÃO GRAU III,14
Corrosão,Corro. Grampo Susp. Condutor (Esq),-1.0,Desconhecido,8
Corrosão,Corro. Grampo Susp. Condutor (Esq),1.0,CONDIÇÃO NORMAL,66
Corrosão,Corro. Grampo Susp. Condutor (Esq),2.0,CORROSÃO GRAU I,560
Corrosão,Corro. Grampo Susp. Condutor (Esq),3.0,CORROSÃO GRAU II,64
Corrosão,Corro. Grampo Susp. Condutor (Esq),4.0,CORROSÃO GRAU III,9
Corrosão,Corro. Grampo Susp. Para-Raio (Dir/Uni),1.0,CONDIÇÃO NORMAL,36
Corrosão,Corro. Grampo Susp. Para-Raio (Dir/Uni),2.0,CORROSÃO GRAU I,235
Corrosão,Corro. Grampo Susp. Para-Raio (Dir/Uni),3.0,CORROSÃO GRAU II,38
Corrosão,Corro. Grampo Susp. Para-Raio (Dir/Uni),4.0,CORROSÃO GRAU III,10
Corrosão,Corro. Grampo Susp. Para-Raio (Esq),1.0,CONDIÇÃO NORMAL,20
Corrosão,Corro. Grampo Susp. Para-Raio (Esq),2.0,CORROSÃO GRAU I,234
Corrosão,Corro. Grampo Susp. Para-Raio (Esq),3.0,CORROSÃO GRAU II,26
Corrosão,Corro. Grampo Susp. Para-Raio (Esq),4.0,CORROSÃO GRAU III,2
Corrosão,Corros Isol Jump-Inf/Dir/Exter(Circ Esq),1.0,CONDIÇÃO NORMAL,19
Corrosão,Corros Isol Jump-Inf/Dir/Exter(Circ Esq),2.0,CORROSÃO GRAU I,136
Corrosão,Corros Isol Jump-Inf/Dir/Exter(Circ Esq),3.0,CORROSÃO GRAU II,13
Corrosão,Corros Isol Jump-Inf/Dir/Exter(Circ Esq),4.0,CORROSÃO GRAU III,6
Corrosão,Corros Isol Jump-Meio/Inter(Circ Esq),-1.0,Desconhecido,1
Corrosão,Corros Isol Jump-Meio/Inter(Circ Esq),1.0,CONDIÇÃO NORMAL,24
Corrosão,Corros Isol Jump-Meio/Inter(Circ Esq),2.0,CORROSÃO GRAU I,136
Corrosão,Corros Isol Jump-Meio/Inter(Circ Esq),3.0,CORROSÃO GRAU II,22
Corrosão,Corros Isol Jump-Meio/Inter(Circ Esq),4.0,CORROSÃO GRAU III,5
Corrosão,Corros Isol Jump-Meio/Inter(Circdir/Uni),-1.0,Desconhecido,1
Corrosão,Corros Isol Jump-Meio/Inter(Circdir/Uni),1.0,CONDIÇÃO NORMAL,23
Corrosão,Corros Isol Jump-Meio/Inter(Circdir/Uni),2.0,CORROSÃO GRAU I,184
Corrosão,Corros Isol Jump-Meio/Inter(Circdir/Uni),3.0,CORROSÃO GRAU II,25
Corrosão,Corros Isol Jump-Meio/Inter(Circdir/Uni),4.0,CORROSÃO GRAU III,2
Corrosão,Corros Isol Jump-Sup/Esq(Circ Dir/Uni),1.0,CONDIÇÃO NORMAL,18
Corrosão,Corros Isol Jump-Sup/Esq(Circ Dir/Uni),2.0,CORROSÃO GRAU I,188
Corrosão,Corros Isol Jump-Sup/Esq(Circ Dir/Uni),3.0,CORROSÃO GRAU II,24
Corrosão,Corros Isol Jump-Sup/Esq(Circ Dir/Uni),4.0,CORROSÃO GRAU III,2
Corrosão,Corros Isol Jump-Sup/Esq(Circ Esq),1.0,CONDIÇÃO NORMAL,21
Corrosão,Corros Isol Jump-Sup/Esq(Circ Esq),2.0,CORROSÃO GRAU I,136
Corrosão,Corros Isol Jump-Sup/Esq(Circ Esq),3.0,CORROSÃO GRAU II,21
Corrosão,Corros Isol Jump-Sup/Esq(Circ Esq),4.0,CORROSÃO GRAU III,2
Corrosão,Corros Isol-Inf/Dir/Exter(Circ Dir/Uni),-1.0,Desconhecido,21
Corrosão,Corros Isol-Inf/Dir/Exter(Circ Dir/Uni),1.0,CONDIÇÃO NORMAL,281
Corrosão,Corros Isol-Inf/Dir/Exter(Circ Dir/Uni),2.0,CORROSÃO GRAU I,5214
Corrosão,Corros Isol-Inf/Dir/Exter(Circ Dir/Uni),3.0,CORROSÃO GRAU II,255
Corrosão,Corros Isol-Inf/Dir/Exter(Circ Dir/Uni),4.0,CORROSÃO GRAU III,32
Corrosão,Corros Isol-Inf/Dir/Exter(Circ Dir/Uni),5.0,CONDIÇÃO PERIGOSA,1
Corrosão,Corros Isol-Inf/Dir/Exter(Circ Esq),-1.0,Desconhecido,11
Corrosão,Corros Isol-Inf/Dir/Exter(Circ Esq),1.0,CONDIÇÃO NORMAL,231
Corrosão,Corros Isol-Inf/Dir/Exter(Circ Esq),2.0,CORROSÃO GRAU I,4124
Corrosão,Corros Isol-Inf/Dir/Exter(Circ Esq),3.0,CORROSÃO GRAU II,209
Corrosão,Corros Isol-Inf/Dir/Exter(Circ Esq),4.0,CORROSÃO GRAU III,39
Corrosão,Corros Isol-Meio/Inter(Circ Dir/Uni),-1.0,Desconhecido,10
Corrosão,Corros Isol-Meio/Inter(Circ Dir/Uni),1.0,CONDIÇÃO NORMAL,297
Corrosão,Corros Isol-Meio/Inter(Circ Dir/Uni),2.0,CORROSÃO GRAU I,5283
Corrosão,Corros Isol-Meio/Inter(Circ Dir/Uni),3.0,CORROSÃO GRAU II,259
Corrosão,Corros Isol-Meio/Inter(Circ Dir/Uni),4.0,CORROSÃO GRAU III,58
Corrosão,Corros Isol-Meio/Inter(Circ Esq),-1.0,Desconhecido,12
Corrosão,Corros Isol-Meio/Inter(Circ Esq),1.0,CONDIÇÃO NORMAL,267
Corrosão,Corros Isol-Meio/Inter(Circ Esq),2.0,CORROSÃO GRAU I,4119
Corrosão,Corros Isol-Meio/Inter(Circ Esq),3.0,CORROSÃO GRAU II,240
Corrosão,Corros Isol-Meio/Inter(Circ Esq),4.0,CORROSÃO GRAU III,47
Corrosão,Corros Isol-Sup/Esq(Circ Dir/Uni),-1.0,Desconhecido,14
Corrosão,Corros Isol-Sup/Esq(Circ Dir/Uni),1.0,CONDIÇÃO NORMAL,303
Corrosão,Corros Isol-Sup/Esq(Circ Dir/Uni),2.0,CORROSÃO GRAU I,5180
Corrosão,Corros Isol-Sup/Esq(Circ Dir/Uni),3.0,CORROSÃO GRAU II,324
Corrosão,Corros Isol-Sup/Esq(Circ Dir/Uni),4.0,CORROSÃO GRAU III,47
Corrosão,Corros Isol-Sup/Esq(Circ Esq),-1.0,Desconhecido,6
Corrosão,Corros Isol-Sup/Esq(Circ Esq),1.0,CONDIÇÃO NORMAL,260
Corrosão,Corros Isol-Sup/Esq(Circ Esq),2.0,CORROSÃO GRAU I,4104
Corrosão,Corros Isol-Sup/Esq(Circ Esq),3.0,CORROSÃO GRAU II,227
Corrosão,Corros Isol-Sup/Esq(Circ Esq),4.0,CORROSÃO GRAU III,38
Corrosão,Corrosao Amortecedor Condutor (Dir/Uni),1.0,CONDIÇÃO NORMAL,3
Corrosão,Corrosao Amortecedor Condutor (Dir/Uni),2.0,CORROSÃO GRAU I,10
Corrosão,Corrosao Amortecedor Condutor (Dir/Uni),3.0,CORROSÃO GRAU II,7
Corrosão,Corrosao Amortecedor Condutor (Dir/Uni),4.0,CORROSÃO GRAU III,2
Corrosão,Corrosao Amortecedor Condutor (Esq),1.0,CONDIÇÃO NORMAL,3
Corrosão,Corrosao Amortecedor Condutor (Esq),2.0,CORROSÃO GRAU I,9
Corrosão,Corrosao Amortecedor Condutor (Esq),3.0,CORROSÃO GRAU II,2
Corrosão,Corrosao Amortecedor Condutor (Esq),4.0,CORROSÃO GRAU III,3
Corrosão,Corrosao Amortecedor Para-Raio (Dir/Uni),1.0,CONDIÇÃO NORMAL,1
Corrosão,Corrosao Amortecedor Para-Raio (Dir/Uni),2.0,CORROSÃO GRAU I,10
Corrosão,Corrosao Amortecedor Para-Raio (Esq),1.0,CONDIÇÃO NORMAL,1
Corrosão,Corrosao Amortecedor Para-Raio (Esq),2.0,CORROSÃO GRAU I,11
Corrosão,Corrosao Amortecedor Para-Raio (Esq),3.0,CORROSÃO GRAU II,4
Corrosão,Corrosao Amortecedor Para-Raio (Esq),4.0,CORROSÃO GRAU III,2
Corrosão,Corrosao Cabo Condutor (Dir/Uni),1.0,CONDIÇÃO NORMAL,6
Corrosão,Corrosao Cabo Condutor (Dir/Uni),2.0,CORROSÃO GRAU I,16
Corrosão,Corrosao Cabo Condutor (Dir/Uni),3.0,CORROSÃO GRAU II,2
Corrosão,Corrosao Cabo Condutor (Dir/Uni),5.0,CONDIÇÃO PERIGOSA,1
Corrosão,Corrosao Cabo Condutor (Esq),1.0,CONDIÇÃO NORMAL,4
Corrosão,Corrosao Cabo Condutor (Esq),2.0,CORROSÃO GRAU I,11
Corrosão,Corrosao Cabo Condutor (Esq),3.0,CORROSÃO GRAU II,2
Corrosão,Corrosao Cabo Condutor (Esq),4.0,CORROSÃO GRAU III,2
Corrosão,Corrosao Cabo Para-Raio (Dir/Uni),1.0,CONDIÇÃO NORMAL,21
Corrosão,Corrosao Cabo Para-Raio (Dir/Uni),2.0,CORROSÃO GRAU I,686
Corrosão,Corrosao Cabo Para-Raio (Dir/Uni),3.0,CORROSÃO GRAU II,122
Corrosão,Corrosao Cabo Para-Raio (Dir/Uni),4.0,CORROSÃO GRAU III,20
Corrosão,Corrosao Cabo Para-Raio (Esq),1.0,CONDIÇÃO NORMAL,29
Corrosão,Corrosao Cabo Para-Raio (Esq),2.0,CORROSÃO GRAU I,721
Corrosão,Corrosao Cabo Para-Raio (Esq),3.0,CORROSÃO GRAU II,146
Corrosão,Corrosao Cabo Para-Raio (Esq),4.0,CORROSÃO GRAU III,27
Corrosão,Corrosao Esfera (Dir/Uni),1.0,CONDIÇÃO NORMAL,8
Corrosão,Corrosao Esfera (Dir/Uni),2.0,CORROSÃO GRAU I,12
Corrosão,Corrosao Esfera (Dir/Uni),3.0,CORROSÃO GRAU II,6
Corrosão,Corrosao Esfera (Esq),1.0,CONDIÇÃO NORMAL,2
Corrosão,Corrosao Esfera (Esq),2.0,CORROSÃO GRAU I,13
Corrosão,Corrosao Esfera (Esq),3.0,CORROSÃO GRAU II,7
Corrosão,Corrosao Espacador (Dir/Uni),1.0,CONDIÇÃO NORMAL,2
Corrosão,Corrosao Espacador (Dir/Uni),2.0,CORROSÃO GRAU I,233
Corrosão,Corrosao Espacador (Dir/Uni),3.0,CORROSÃO GRAU II,3
Corrosão,Corrosao Espacador (Esq),1.0,CONDIÇÃO NORMAL,1
Corrosão,Corrosao Espacador (Esq),2.0,CORROSÃO GRAU I,234
Corrosão,Corrosao Espacador (Esq),4.0,CORROSÃO GRAU III,2
Corrosão,Corrosao Jumper (Dir/Uni),1.0,CONDIÇÃO NORMAL,1
Corrosão,Corrosao Jumper (Dir/Uni),2.0,CORROSÃO GRAU I,6
Corrosão,Corrosao Jumper (Dir/Uni),3.0,CORROSÃO GRAU II,1
Corrosão,Corrosao Jumper (Esq),1.0,CONDIÇÃO NORMAL,4
Corrosão,Corrosao Jumper (Esq),2.0,CORROSÃO GRAU I,6
Corrosão,Corrosao Jumper (Esq),3.0,CORROSÃO GRAU II,2
Corrosão,Corrosao Na Estrutura,1.0,CONDIÇÃO NORMAL,73
Corrosão,Corrosao Na Estrutura,2.0,CORROSÃO GRAU I,1361
Corrosão,Corrosao Na Estrutura,3.0,CORROSÃO GRAU II,92
Corrosão,Corrosao Na Estrutura,4.0,CORROSÃO GRAU III,39
Corrosão,Corrosao Na Grelha,1.0,CONDIÇÃO NORMAL,10
Corrosão,Corrosao Na Grelha,2.0,CORROSÃO GRAU I,6
Corrosão,Corrosao Na Grelha,3.0,CORROSÃO GRAU II,29
Corrosão,Corrosao Na Grelha,4.0,CORROSÃO GRAU III,129
Corrosão,Corrosao No Cabo/Fita De Contrapeso,-1.0,Desconhecido,2
